symbol,buy_trades_3d,sell_trades_3d,total_trades_3d,buy_sell_ratio,dates_used
FORMUSDT,12948,14364,27312,0.9014,2026-05-21|2026-05-20|2026-05-19
COOKIEUSDT,13601,13368,26969,1.0174,2026-05-21|2026-05-20|2026-05-19
MOVRUSDT,13255,13007,26262,1.0191,2026-05-21|2026-05-20|2026-05-19
LAUSDT,14002,11974,25976,1.1694,2026-05-21|2026-05-20|2026-05-19
PIXELUSDT,12007,13430,25437,0.8940,2026-05-21|2026-05-20|2026-05-19
TURBOUSDT,11820,13391,25211,0.8827,2026-05-21|2026-05-20|2026-05-19
ORCAUSDT,13233,11936,25169,1.1087,2026-05-21|2026-05-20|2026-05-19
WCTUSDT,12661,12415,25076,1.0198,2026-05-21|2026-05-20|2026-05-19
CETUSUSDT,12062,12783,24845,0.9436,2026-05-21|2026-05-20|2026-05-19
GNSUSDT,12999,11708,24707,1.1103,2026-05-21|2026-05-20|2026-05-19
WIFUSDT,12596,11096,23692,1.1352,2026-05-21|2026-05-20|2026-05-19
JASMYUSDT,12427,11189,23616,1.1106,2026-05-21|2026-05-20|2026-05-19
ENSOUSDT,10938,12306,23244,0.8888,2026-05-21|2026-05-20|2026-05-19
GMTUSDT,10472,12395,22867,0.8449,2026-05-21|2026-05-20|2026-05-19
CHRUSDT,11457,11257,22714,1.0178,2026-05-21|2026-05-20|2026-05-19
ARUSDT,11244,11206,22450,1.0034,2026-05-21|2026-05-20|2026-05-19
PHAUSDT,11579,10817,22396,1.0704,2026-05-21|2026-05-20|2026-05-19
GALAUSDT,10751,11608,22359,0.9262,2026-05-21|2026-05-20|2026-05-19
ACTUSDT,9219,13080,22299,0.7048,2026-05-21|2026-05-20|2026-05-19
TUTUSDT,11177,10927,22104,1.0229,2026-05-21|2026-05-20|2026-05-19
SOLVUSDT,10665,11239,21904,0.9489,2026-05-21|2026-05-20|2026-05-19
COSUSDT,11312,10450,21762,1.0825,2026-05-21|2026-05-20|2026-05-19
WALUSDT,9476,11781,21257,0.8043,2026-05-21|2026-05-20|2026-05-19
